Account length,Area code,International plan,Number vmail messages,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn,Total charge,State,Voice mail plan
128,415,0,25,110,197.4,99,244.7,91,10.0,3,1,0,64.55,KS,Yes
107,415,0,26,123,195.5,103,254.4,103,13.7,3,1,0,47.790000000000006,OH,Yes
137,415,0,0,114,121.2,110,162.6,104,12.2,5,0,0,54.970000000000006,NJ,No
84,408,1,0,71,61.9,88,196.9,89,6.6,7,2,0,57.94,OH,No
75,415,1,0,113,148.3,122,186.9,121,10.1,3,3,0,43.68,OK,No
118,510,1,0,98,220.6,101,203.9,118,6.3,6,0,0,58.43,AL,No
121,510,0,24,88,348.5,108,212.6,118,7.5,7,3,0,68.74000000000001,MA,Yes
147,415,1,0,79,103.1,94,211.8,96,7.1,6,0,0,37.370000000000005,MO,No
117,408,0,0,97,351.6,80,215.8,90,8.7,4,1,0,63.61000000000001,LA,No
141,415,1,37,84,222.0,111,326.4,97,11.2,5,0,0,65.85,WV,Yes
65,415,0,0,137,228.5,83,208.8,111,12.7,6,4,1,44.8,IN,No
74,415,0,0,127,163.4,148,196.0,94,9.1,5,0,0,48.26,RI,No
168,408,0,0,96,104.9,71,141.1,128,11.2,2,1,0,33.84,IA,No
95,510,0,0,88,247.6,75,192.3,115,12.3,5,3,0,50.99,MT,No
62,415,0,0,70,307.2,76,203.0,99,13.1,6,4,0,50.17,IA,No
161,415,0,0,67,317.8,97,160.6,128,5.4,9,4,1,85.06,NY,No
85,408,0,27,139,280.9,90,89.3,75,13.8,4,1,0,60.99999999999999,ID,Yes
93,510,0,0,114,218.2,111,129.6,121,8.1,3,3,0,53.16,VT,No
76,510,0,33,66,212.8,65,165.7,108,10.0,5,1,0,53.040000000000006,VA,Yes
73,415,0,0,90,159.5,88,192.8,74,13.0,2,1,0,55.22,TX,No
147,415,0,0,117,239.7,93,208.8,133,10.6,4,0,0,49.6,FL,No
77,408,0,0,89,169.9,121,209.6,64,5.7,6,5,1,26.59,CO,No
130,415,0,0,112,72.9,99,181.8,78,9.5,19,0,0,39.88,AZ,No
111,415,0,0,103,137.3,102,189.6,105,7.7,6,2,0,32.52,SC,No
